Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.394600E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.394700E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.394800E-01,+1.220000E+01,+1.272000E+01,+1.052000E+01
+4.394900E-01,+3.160000E+00,+1.272000E+01,+1.052000E+01
+4.395000E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.395100E-01,+1.240000E+00,+1.264000E+01,+1.052000E+01
+4.395200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.395300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.395400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.395500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.395600E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.395700E-01,+1.160000E+00,+1.280000E+01,+1.052000E+01
+4.395800E-01,+6.799998E-01,+1.232000E+01,+1.052000E+01
+4.395900E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.396000E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.396100E-01,+1.480000E+00,+1.288000E+01,+1.052000E+01
+4.396200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.396300E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.396400E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.396500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.396600E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.396700E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.396800E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.396900E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.397000E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.397100E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.397200E-01,+1.000000E+00,+1.248000E+01,+1.052000E+01
+4.397300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.397400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.397500E-01,+1.320000E+00,+1.280000E+01,+1.052000E+01
+4.397600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.397700E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.397800E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.397900E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
